english,japanese,difficulty_level
anyway,とにかく,2
following,～に続いて,2
refer,参照する,2
available,入手できる,2
department,部門,2
conference,会議,2
according to,～によると,2
likely,おそらく,2
offer,申し出る,2
equipment,機器,2
provide,提供する,2
local,地元の,2
purchase,購入する,2
opening,空き,2
construction,建設,2
tour,見学する,2
research,調査,2
attend,出席する,2
delivery,配達,2
recently,最近,2
indicate,示す,2
employee,従業員,2
additional,追加の,2
survey,アンケート調査,2
review,論評する,2
production,生産,2
located,位置して,2
detail,詳細,2
announce,発表する,2
repair,修理,2
increase,増加,2
include,含む,2
currently,現在,2
advertising,広告,2
charge,請求する,2
expect,予定する,2
firm,会社,2
client,顧客,2
financial,お金の,2
annual,年間の,2
payment,支払,2
budget,予算,2
application,応募書類,2
contract,契約,2
management,経営,2
performance,業績,2
pleased,満足して,2
confirm,確認する,2
award,賞,2
clothing,衣類,2
display,展示する,2
candidate,候補者,2
state,述べる,2
exhibit,展示物,2
session,時間,2
note,注意する,2
process,処理する,2
instruction,説明書,2
membership,会員,2
agency,代理店,2
based,拠点のある,2
facility,施設,2
advance,事前の,2
committee,委員会,2
successful,成功した,2
excellent,素晴らしい,2
industry,業界,2
fee,料金,2
accept,受け入れる,2
upcoming,今度の,2
latest,最新の,2
submit,提出する,2
transportation,輸送手段,2
r?sum?,履歴書,2
executive,重役,2
introduce,導入する,2
previous,以前の,2
proposal,提案,2
supply,必需品,2
enclose,同封する,2
policy,規定,2
register,登録する,2
arrange,手配する,2
bill,請求書,2
hire,雇う,2
approve,承認する,2
conduct,実施する,2
opportunity,機会,2
deadline,締め切り,2
corporate,企業の,2
warranty,保証,2
necessary,必要な,2
reserve,予約する,2
resident,住民,2
create,作り出す,2
inform,知らせる,2
allow,可能にする,2
mention,述べる,2
appreciate,感謝する,2
replacement,交換品,2
update,最新情報,2
branch,支店,2
paid,有給の,2
unfortunately,残念なことに,2
original,元の,2
rent,家賃,2
memo,社内文書,2
luggage,旅行かばん,2
editor,編集者,2
exhibition,展示会,2
leading,首位の,2
organization,組織,2
release,発売する,2
limited,限られた,2
procedure,手続き,2
experienced,経験豊富な,2
personnel,社員,2
author,著者,2
benefit,福利厚生,2
focus,～に集中させる,2
participate,参加する,2
cause,原因,2
degree,学位,2
directly,直接,2
host,司会者,2
expert,専門家,2
impress,感心させる,2
mainly,主に,2
suggestion,提案,2
supplier,納入業者,2
document,書類,2
remind,再確認する,2
require,求める,2
representative,担当者,2
packaging,梱包,2
description,説明,2
property,不動産,2
extension,内線,2
inquire,問い合わせる,2
merchandise,商品,2
highly,非常に,2
result,結果,2
assistance,支援,2
encourage,奨励する,2
individual,個人,2
laboratory,研究所,2
consider,考える,2
headquarters,本社,2
ship,出荷する,2
commercial,商業の,2
device,機器,2
intended,向けられた,2
brochure,パンフレット,2
mail,郵便配達,2
prefer,～を（・・・よりも）好む,2
response,返事,2
region,地域,2
donation,寄付,2
quarter,四半期,2
agreement,契約,2
journal,専門誌,2
distribute,配布する,2
potential,見込みがある,2
reschedule,スケジュール変更する,2
renew,更新する,2
warehouse,倉庫,2
refund,返金,2
advise,勧める,2
immediately,即座に,2
council,議会,2
broadcast,放送する,2
responsible,担当している,2
avoid,避ける,2
effective,効果的な,2
invitation,招待,2
reduce,（値段を）下げる,2
vehicle,乗り物,2
efficient,効率的な,2
manufacturer,メーカー,2
comfortable,快適な,2
correct,正しい,2
downtown,中心街の,2
method,方法,2
entire,全体の,2
range,範囲,2
setting,環境,2
apologize,おわびする,2
frequent,ひんぱんな,2
promotion,昇進,2
regarding,～に関する,2
temporary,臨時の,2
traditional,伝統的な,2
admission,入場料,2
fit,入る,2
reference,照会先,2
status,状況,2
fuel,燃料,2
nearly,もう少しで,2
cafeteria,社員食堂,2
determine,決定する,2
expense,経費,2
oversea,海外の,2
satisfied,満足した,2
appear,掲載される,2
develop,作り出す,2
improve,改善する,2
reasonable,手ごろな,2
unable,できない,2
delay,遅らせる,2
legal,法律に関する,2
regulation,規制,2
expand,拡大する,2
launch,発売,2
recommendation,推薦,2
direct,向ける,2
profit,利益,2
seek,探し求める,2
entry,エントリー,2
claim,申し立て,2
crew,班,2
demand,需要,2
figure,数字,2
raise,集める,2
attach,添付する,2
attract,引き付ける,2
insurance,保険,2
departure,出発,2
mayor,町長,2
balance,残額,2
estimate,見積もり,2
district,地区,2
former,かつての,2
modern,近代的な,2
tip,コツ,2
establish,設立する,2
option,選択肢,2
retire,退職する,2
search,検索,2
specific,具体的な,2
agricultural,農業の,2
historical,歴史の,2
helpful,役立つ,2
complaint,苦情,2
related,関連した,2
simply,単純に,2
unique,他に類を見ない,2
concerning,～に関する,2
reputation,評判,2
ability,能力,2
arrival,到着,2
familiar,よく知っている,2
ideal,理想的な,2
maintain,維持する,2
landscaping,造園,2
organize,とりまとめる,2
significant,かなりの,2
occasion,好機,2
standard,基準,2
background,経歴,2
guided,ガイド付きの,2
advanced,進んだ,2
alternative,代わりの,2
confident,自信がある,2
decade,10年間,2
initial,初めの,2
separate,別々の,2
celebration,お祝い,2
concern,懸念,2
environment,環境,2
operate,操作する,2
various,さまざまな,2
brief,短い,2
full-time,常勤の,2
overall,全体の,2
achieve,達成する,2
basis,基準,2
complex,複合施設,2
delighted,とても喜んでいる,2
obtain,得る,2
honor,称える,2
properly,適切に,2
suitable,適切な,2
electronic,電子の,2
finalize,取りまとめる,2
generous,寛大な,2
preparation,準備,2
duty,任務,2
earn,得る,2
willing,～する気がある,2
worth,価値がある,2
fund,資金を提供する,2
overnight,翌日配送の,2
particularly,特に,2
aspect,面,2
hesitate,ためらう,2
involved,関わった,2
regularly,定期的に,2
scholarship,奨学金,2
shortly,じきに,2
automobile,自動車の,2
deposit,保証金,2
contain,含む,2
content,内容,2
proof,証明,2
affect,影響する,2
recognize,認める,2
represent,代表を務める,2
transfer,転勤させる,2
anniversary,～周年,2
automatically,自動的に,2
capacity,能力,2
destination,目的地,2
grant,補助金,2
publish,出版する,2
accompany,添付する,2
economic,経済の,2
extremely,非常に,2
institution,機関,2
accurate,正確な,2
compete,競う,2
emphasize,強調する,2
aware,気付いて,2
crowded,混雑した,2
praise,ほめる,2
valuable,貴重な,2
explore,探索する,2
found,設立する,2
function,機能,2
impact,影響,2
amazing,驚くべき,2
assure,保証する,2
cooperation,協力,2
popularity,人気,2
permit,許可証,2
solve,解決する,2
vote,投票する,2
crop,作物,2
neighborhood,近所,2
permanent,常設の,2
regret,残念に思う,2
slightly,わずかに,2
complicated,複雑な,2
factor,要因,2
favorable,好意的な,2
guarantee,保証する,2
mechanical,機械の,2
priority,優先順位,2
relatively,比較的,2
resource,資源,2
shuttle,定期往復便,2
divide,分ける,2
native,出身の,2
afford,～する余裕がある,2
income,収入,2
occur,発生する,2
saving,値引き,2
findings,わかったこと,2
locate,見つける,2
postpone,延期する,2
preserve,保護する,2
prove,わかる,2
exact,正確な,2
gain,得る,2
labor,労働,2
regard,みなす,2
closely,密に,2
deserve,値する,2
identify,特定する,2
loyal,忠実な,2
promising,有望な,2
stress,強調する,2
analyze,分析する,2
commission,委託する,2
committed,熱心に取り組む,2
comparison,比較,2
component,部品,2
enable,可能にする,2
enjoyable,楽しい,2
existing,従来の,2
flyer,チラシ,2
proceed,進む,2
prevent,防ぐ,2
alike,同様に,2
appoint,指名する,2
connection,接続,2
eager,熱望する,2
ease,容易さ,2
fairly,かなり,2
absolutely,完全に,2
atmosphere,雰囲気,2
calculate,計算する,2
contrast,対照的である,2
monitor,監視する,2
occasionally,時々,2
practical,実務の,2
serious,重大な,2
strength,強度,2
equally,同じように,2
import,輸入品,2
informal,非公式の,2
lately,最近,3
profession,専門的職業,3
supervisor,上司,3
ensure,保証する,3
submission,提出物,3
notify,知らせる,3
definitely,絶対に,3
eligible,資格がある,3
paperwork,書類,3
complimentary,無料の,3
revise,修正する,3
track,追跡する,3
administrative,管理の,3
retail,小売り,3
inventory,在庫,3
extensive,詳細な,3
promotional,販促の,3
catering,仕出し,3
wildlife,野生動物,3
assign,任命する,3
imply,ほのめかす,3
banquet,夕食会,3
valid,有効な,3
affordable,手ごろな,3
renovate,改装する,3
guidelines,指針,3
certificate,認定証,3
innovative,革新的な,3
agenda,議題,3
assembly,組立,3
install,設置する,3
orientation,新入社員向け説明会,3
renowned,名高い,3
appropriate,適した,3
ingredient,（料理の）材料,3
storage,貯蔵,3
beverage,飲料,3
prior,前の,3
merger,合併,3
inn,宿,3
equip,備え付ける,3
summary,要約,3
lease,賃貸借（契約）,3
defective,欠陥のある,3
quarterly,年に四回の,3
extended,長期の,3
architect,建築家,3
grocery,食品雑貨の,3
sculpture,彫刻,3
itinerary,旅程表,3
directory,名簿,3
expire,期限が切れる,3
vendor,業者,3
colleague,同僚,3
patron,愛用者,3
relocate,移転させる,3
tourism,観光事業,3
remodel,改築する,3
consumer,消費者,3
inspect,検査する,3
numerous,数多くの,3
payroll,給与管理,3
qualified,適任の,3
appliance,電化製品,3
competitive,他に負けない,3
specialize,専門とする,3
questionnaire,アンケート用紙,3
approximately,約,3
contribute,貢献する,3
productivity,生産性,3
promptly,（時刻）きっかりに,3
strategy,戦略,3
dedicated,献身的な,3
exceptional,並外れた,3
luncheon,昼食会,3
exceed,超える,3
multiple,複数の,3
specify,明確に述べる,3
venue,会場,3
household,家庭用の,3
evaluate,評価する,3
negotiate,交渉する,3
booking,予約,3
circulation,発行部数,3
completion,完了,3
relevant,関連した,3
thorough,徹底的な,3
via,～を経由して,3
workplace,職場,3
accommodations,宿泊施設,3
flexible,柔軟な,3
predict,予測する,3
preference,希望,3
substantial,かなりの,3
accessible,到達できる,3
coverage,報道,3
generate,生み出す,3
refreshment,軽い飲食物,3
reliable,頼りになる,3
revenue,収入,3
fund-raising,資金調達のための,3
accomplished,熟達した,3
acquire,買収する,3
accordingly,それに応じて,3
critic,評論家,3
highlight,強調する,3
profile,人物紹介する,3
motivate,やる気にさせる,3
subscription,購読,3
encounter,（問題や困難に）直面する,3
luxury,高級な,3
prohibit,禁止する,3
resolve,解決する,3
restore,復旧させる,3
surrounding,周辺の,3
alert,（重要なことを）知らせる,3
anticipated,待ち望まれた,3
consistently,常に,3
dairy,乳製品,3
phase,段階,3
manuscript,原稿,3
overtime,残業,3
premises,敷地,3
utility,公共料金,3
laundry,洗濯,3
enthusiastic,乗り気である,3
outline,概要を説明する,3
packet,袋,3
retain,保管する,3
belongings,所持品,3
conservation,節約,3
routine,日常的に行われる,3
urban,都市の,3
workforce,全従業員,3
biography,人物紹介,3
ownership,所有（権）,3
pastry,焼き菓子,3
tenant,入居者,3
workload,仕事量,3
sufficient,十分な,3
characteristic,特徴,3
combined,共同の,3
conclude,終える,3
associate,関連付ける,3
conflict,衝突,3
investment,投資,3
physician,医師,3
token,印,3
partial,部分的な,3
resume,再開する,3
dealership,販売特約店,3
garment,衣料品,3
implement,実施する,3
paycheck,給与,3
recruit,採用する,3
substitute,～を代わりに用いる,3
typically,通常,3
authorize,公認する,3
comparable,同等の,3
faculty,（大学の）教員,3
initiative,新しい計画,3
postage,郵便料金,3
afterwards,その後で,3
aim,目指す,3
generally,おおむね,3
occupied,（部屋、座席、ベッド等が）使われている,3
solid,確かな,3
attempt,試み,3
authority,権限,3
domestic,国内の,3
permission,許可,3
presence,存在感,3
rapidly,急速に,3
relief,安心感,3
reward,報いる,3
translate,翻訳する,3
circumstance,状況,3
contrary,正反対の,3
eventually,最終的には,3
expose,さらす,3
panel,グループ,3
portion,部分,3
primary,主な,3
remark,（スピーチでの）言葉,3
timely,タイミングの良い,3
commonly,一般に,3
consult,（医者、弁護士等の専門家に）相談する,3
convert,改造する,3
obligation,義務,3
resign,辞任する,3
securely,しっかりと,3
strive,懸命に努力する,3
timeline,予定表,3
urge,強く促す,3
acknowledge,（受け取ったことを）知らせる,3
diverse,多種多様な,3
transaction,取引,3
lack,不足,3
essential,最も重要な,3
majority,大部分,3
observe,気付く,3
possess,（財産、所有物等として）持つ,3
sharply,急激に,3
adjustment,調整,3
aisle,通路,3
capture,（映像や写真に）記録する,3
consist,～から成る,3
desirable,望ましい,3
heavily,非常に頻繁に,3
investigate,調査する,3
measurement,寸法,3
urgent,緊急の,3
checkout,レジ,3
dispose,処分する,3
modify,修正する,3
outlet,店舗,3
prescription,処方せん,3
situated,位置している,3
surprisingly,驚いたことに,3
transform,（姿、形、性質等を）一変させる,3
undergo,（検査、修理等を）経験する,3
blueprint,設計図,3
boost,押し上げる,3
considerably,かなり,3
eliminate,取り除く,3
exclusively,限定で,3
leak,漏れる,3
preliminary,暫定の,3
sophisticated,洗練された,3
statistics,統計,3
vacant,空の,3
evidence,証拠,3
excursion,お出かけ,3
influence,影響を与える,3
ordinary,普通の,3
reject,却下する,3
tailor,（ニーズや目的に合うように）合わせる,3
assume,引き受ける,3
engagement,約束,3
fame,名声,3
modest,少しの,3
patent,特許,3
pursue,追い求める,3
remote,人里離れた,3
reveal,明らかにする,3
allowance,手当,3
crucial,非常に重要な,3
distinguished,際立って優れた,3
disturb,邪魔する,3
fluent,堪能な,3
fulfill,満たす,3
objective,目的,3
restrict,制限する,3
steadily,着実に,3
adequate,（要求を満たすのに）十分な,3
assessment,評価,3
attribute,おかげであるとする,3
beforehand,あらかじめ,3
challenging,困難だがやりがいのある,3
endeavor,努力,3
inspiring,やる気が出るような,3
remarkable,驚くべき,3
measure,対策,3
struggle,奮闘する,3
wage,賃金,3
adapt,適応する,3
ambitious,意欲的な,3
capable,能力がある,3
consequence,結果,3
impose,課す,3
latter,後者,3
output,生産量,3
proudly,誇らしげに,3
stable,安定した,3
transition,移行,3
consent,同意,3
dependable,信頼できる,3
diligent,勤勉な,3
illustrate,（例や図表を使って）説明する,3
independently,単独で,3
mission,使命,3
moderate,適度な,3
outlook,見通し,3
precisely,正確に,3
concentrated,集中的な,3
ample,十分な,3
asset,財産,3
controversial,議論を引き起こす,3
disappointing,期待はずれの,3
instrumental,重要な役割を果たす,3
interruption,中断,3
perspective,観点,3
scope,範囲,3
speculation,推測,3
supplement,補う,3
understaffed,人手不足の,3
rarely,めったに～しない,3
caution,注意,3
legislation,法律,3
logical,妥当な,3
lumber,製材,4
reverse,反対の,4
voluntary,任意の,4
contractor,請負業者,4
on-site,社内の,4
comprehensive,総合的な,4
confidential,機密の,4
expertise,専門知識,4
premier,最高の,4
souvenir,みやげ物,4
rafting,(いかだやゴムボートでの）川下り,4
compartment,一区画,4
fabric,生地,4
spacious,広々とした,4
upgrade,改良,4
showcase,披露する,4
commuter,通勤者,4
enhance,向上させる,4
freight,貨物,4
nominate,（候補として）推薦する,4
discontinued,（製造・販売が）終了した,4
mentoring,メンター制度,4
personalized,個人に合わせた,4
pharmacy,薬局,4
excerpt,抜粋,4
publicize,宣伝する,4
tuition,授業料,4
compliance,(法律・規則等の）順守,4
clarify,はっきりさせる,4
municipal,市の,4
respectively,それぞれ,4
durable,耐久性がある,4
landmark,名所,4
portfolio,作品集,4
recipient,受賞者,4
prototype,試作品,4
transit,輸送,4
verify,認証する,4
managerial,管理職の,4
culinary,料理の,4
attire,服装,4
reimburse,払い戻す,4
courteous,礼儀正しい,4
furnished,家具付きの,4
knowledgeable,知識が豊富な,4
craftspeople,職人,4
delete,削除する,4
emerging,新興の,4
enroll,入会する,4
proficiency,スキルの高さ,4
scenic,眺めがいい,4
state-of-the-art,最新式の,4
cuisine,料理,4
acclaimed,絶賛されている,4
certified,有資格の,4
medication,薬,4
overview,概略,4
resistant,耐えられる,4
superb,素晴らしい,4
array,大量,4
informative,有益な,4
nationwide,全国的な,4
outdated,時代遅れの,4
shareholder,株主,4
voucher,引換券,4
adjacent,隣接した,4
correspondence,（手紙やメールでの）やり取り,4
detergent,洗剤,4
duration,継続期間,4
functional,機能を果たせる,4
hands-on,実地の,4
intensive,集中的な,4
last-minute,間際になっての,4
thrilled,とてもわくわくして,4
spectacular,壮観な,4
entrepreneur,起業家,4
introductory,入門の,4
minimize,最小限に抑える,4
prestigious,権威のある,4
screening,上映,4
amenity,生活を便利に（楽しく）するもの,4
lengthy,長期にわたる,4
compensate,補償する,4
misplace,紛失する,4
notable,注目すべき,4
subsidiary,子会社,4
authentic,本物の,4
designated,指定された,4
disruption,混乱,4
fragile,壊れやすい,4
ongoing,進行中の,4
periodical,定期刊行物,4
plumber,配管工,4
incur,（損失や罰金等を）受ける,4
oversee,監督する,4
retrieve,（PCから情報を）取り出す,4
reunion,同窓会,4
rigorous,厳格な,4
specification,仕様（書）,4
tentative,仮の,4
tutorial,指導書,4
apprentice,見習い,4
bid,入札,4
discard,捨てる,4
outing,外出,4
overwhelmingly,圧倒的に,4
proceeds,収益,4
refrain,差し控える,4
inclement,荒れ模様の,4
novice,初心者,4
activate,使えるようにする,4
anecdote,逸話,4
collaboration,協力,4
commemorate,（記念日や人を）祝う,4
duplicate,複製の,4
intermission,休憩時間,4
fertilizer,肥料,4
proofread,校正する,4
solicit,求める,4
unveil,披露する,4
applicable,適用される,4
commend,褒める,4
complement,合う,4
incentive,動機付け,4
incorporate,取り入れる,4
lapse,失効する,4
picturesque,絵のように美しい,4
prospective,見込みのある,4
simplify,簡素化する,4
surpass,超える,4
surplus,余分な,4
withstand,耐える,4
advocate,提唱者,4
aspiring,～志望の,4
assorted,詰め合わせの,4
credentials,経歴,4
interoffice,社内の,4
malfunction,故障,4
mutually,互いに,4
periodically,定期的に,4
copyright,著作権,4
nutritious,栄養のある,4
obstruct,（通路や視界を）さえぎる,4
abundant,十分な,4
agreeable,快適な,4
compromise,妥協点,4
continuous,絶え間のない,4
dominant,圧倒的な,4
exhausted,疲れ切った,4
fierce,熾烈（しれつ）な,4
prosperous,繁栄している,4
quote,提示価格,4
reluctant,気乗りしない,4
remedy,改善策,4
solely,一人で,4
vital,不可欠な,4
revitalize,再活性化する,4
commence,始まる,4
countless,数えきれないほどの,4
devise,考案する,4
execute,実行する,4
foster,促進する,4
initiate,始める,4
insight,洞察,4
misleading,誤解を招く恐れのある,4
precaution,予防措置,4
transparent,透明の,4
coincide,同時に起こる,4
concise,簡潔な,4
delegation,代表団,4
diagnosis,診断,4
enforce,施行する,4
hypothesis,仮説,4
predecessor,前任者,4
prominently,目立って,4
adoption,採用,4
accelerate,加速させる,4
adhere,（規則や法律等に）忠実に従う,4
allocate,割り当てる,4
appraisal,査定,4
compile,とりまとめる,4
conform,（規則や周囲の状況等に）合わせる,4
constraint,制約,4
distraction,注意の妨げになるもの,4
facilitate,促進する,4
integral,不可欠の,4
interact,交流する,4
persistence,粘り強さ,4
quota,ノルマ,4
congested,渋滞した,4
deduct,控除する,4
embrace,積極的に受け入れる,4
synthetic,合成の,4
terminate,終わらせる,4
detect,見つける,4
patiently,根気よく,4
ratio,比率,4
dietary,食事の,4
intentionally,意図的に,4
persuasive,説得力のある,4
subsequent,その後の,5
thoughtfully,深く考えて,5
abridged,要約された,5
carpool,相乗り,5
compatible,互換性がある,5
endorse,推薦する,5
explicit,明確な,5
keenly,鋭く,5
plaque,盾,5
dilute,薄める,5
exempt,免除された,5
centerpiece,中心に置かれる装飾品,5
oversight,見落とし,5
privileged,光栄な,5
recur,再発する,5
skeptical,懐疑的な,5
sustainable,環境に優しい,5
artifact,（歴史的・文化的価値のある）工芸品,5
keynote,基調となる,5
breathtaking,息をのむほどの,5
cubicle,個別の作業スペース,5
outage,供給停止期間,5
perishable,傷みやすい,5
avid,熱心な,5
detour,回り道,5
expedite,早める,5
vicinity,近辺,5
affiliated,提携した,5
definitive,決定版の,5
demolish,（建物を）解体する,5
feasible,実現可能な,5
inaugural,最初の,5
installment,分割払いの一回分,5
redeemable,（現金や商品と）交換可能な,5
streamline,簡略化する,5
insulation,（音、熱、電気等を）防ぐこと,5
intact,傷がない,5
occupancy,(ホテルや部屋等の）占有,5
turnover,離職率,5
unanimous,満場一致の,5
deteriorate,悪化する,5
sturdy,頑丈な,5
adverse,よくない,5
bearer,（小切手やクーポン等の）持参人,5
unprecedented,前例のない,5
botanical,植物の,5
commensurate,比例した,5
consecutive,連続した,5
deliberation,熟考,5
discreetly,分別を持って,5
entail,必要とする,5
fluctuation,変動,5
foremost,最高の,5
imperative,非常に重要な,5
mandatory,強制の,5
meticulously,細心の注意を払って,5
outreach,支援活動,5
tenure,在職期間,5
versatile,多才な,5
alleviate,和らげる,5
exemplary,模範的な,5
gala,祝祭,5
mural,壁画,5
proprietor,オーナー,5
stagnant,停滞した,5
stringent,非常に厳しい,5
testimonial,推薦の声,5
turnout,来場者数,5
waive,（権利や条件を）放棄する,5
faucet,蛇口,5
amendment,修正,5
anonymous,匿名の,5
fraud,詐欺,5
liable,法的責任がある,5
considerate,配慮して,5
consolidate,統合する,5
vigorous,精力的な,5
retreat,研修旅行,5
custodian,管理人,5
forge,築く,5
impending,間近に迫った,5
itemize,項目別にする,5
liaison,連絡係,5
objectionable,不快な,5
repave,再舗装する,5
shortcoming,欠点,5
viable,実行可能な,5
memorabilia,記念品,5
deplete,使い果たす,5
jeopardy,危機,5
nominal,ほんのわずかの,5
deviate,それる,5
forfeit,没収される,5
bolster,強化する,5
optimal,ベストの,5
purveyor,販売業者,5
raffle,福引,5
ventilation,風通し,5
unwavering,ゆるがぬ,5
exponentially,加速度的に,5